Dialogue_ID,Speaker,Text,Hedge_Count,Urgency_Count,Sentiment,Label
D001,Agent,Verify details?,0,0,0.0,0
D001,Client,check balance please.,0,0,0.0,0
D001,Agent,Which account number?,0,0,0.0,0
D001,Agent,Verify details?,0,0,0.0,0
D001,Agent,Security check required.,0,0,0.0,0
D001,Client,check balance please.,0,0,0.0,0
D001,Agent,Which account number?,0,0,0.0,0
D001,Client,statement please please.,0,0,0.33,0
D002,Client,statement please please.,0,0,0.33,0
D002,Client,update address please.,0,0,0.0,0
D002,Agent,Security check required.,0,0,0.0,0
D002,Client,check balance please.,0,0,0.0,0
D002,Agent,Can you confirm the amount?,0,0,0.0,0
D002,Agent,Account confirmed.,0,0,0.0,0
D002,Client,change phone number please.,0,0,0.0,0
D002,Agent,Verify details?,0,0,0.0,0
D002,Agent,Processing request.,0,0,0.0,0
D002,Client,change phone number please.,0,0,0.0,0
D002,Client,statement please please.,0,0,0.33,0
D002,Agent,Account confirmed.,0,0,0.0,0
D003,Agent,Security check required.,0,0,0.0,0
D003,Agent,Which account number?,0,0,0.0,0
D003,Agent,Which account number?,0,0,0.0,0
D003,Client,change phone number please.,0,0,0.0,0
D003,Client,recent transactions please.,0,0,0.0,0
D003,Client,check balance please.,0,0,0.0,0
D004,Client,change phone number please.,0,0,0.0,0
D004,Agent,Processing request.,0,0,0.0,0
D004,Agent,Verify details?,0,0,0.0,0
D004,Client,recent transactions please.,0,0,0.0,0
D004,Agent,Which account number?,0,0,0.0,0
D004,Client,check balance please.,0,0,0.0,0
D005,Agent,Verify details?,0,0,0.0,0
D005,Client,recent transactions please.,0,0,0.0,0
D005,Agent,Security check required.,0,0,0.0,0
D005,Agent,Can you confirm the amount?,0,0,0.0,0
D005,Agent,Account confirmed.,0,0,0.0,0
D005,Client,check balance please.,0,0,0.0,0
D005,Client,change phone number please.,0,0,0.0,0
D005,Agent,Which account number?,0,0,0.0,0
D005,Agent,Account confirmed.,0,0,0.0,0
D005,Client,recent transactions please.,0,0,0.0,0
D005,Client,check balance please.,0,0,0.0,0
D006,Agent,Security check required.,0,0,0.0,0
D006,Agent,Security check required.,0,0,0.0,0
D006,Client,check balance please.,0,0,0.0,0
D006,Agent,Which account number?,0,0,0.0,0
D006,Agent,Account confirmed.,0,0,0.0,0
D006,Agent,Which account number?,0,0,0.0,0
D006,Agent,Verify details?,0,0,0.0,0
D006,Client,change phone number please.,0,0,0.0,0
D006,Agent,Security check required.,0,0,0.0,0
D006,Agent,Verify details?,0,0,0.0,0
D006,Client,update address please.,0,0,0.0,0
D007,Client,statement please please.,0,0,0.33,0
D007,Client,change phone number please.,0,0,0.0,0
D007,Client,statement please please.,0,0,0.33,0
D007,Client,update address please.,0,0,0.0,0
D007,Agent,Account confirmed.,0,0,0.0,0
D007,Client,check balance please.,0,0,0.0,0
D007,Agent,Verify details?,0,0,0.0,0
D008,Agent,Which account number?,0,0,0.0,0
D008,Client,update address please.,0,0,0.0,0
D008,Agent,Can you confirm the amount?,0,0,0.0,0
D008,Client,update address please.,0,0,0.0,0
D008,Client,recent transactions please.,0,0,0.0,0
D008,Agent,Security check required.,0,0,0.0,0
D008,Client,change phone number please.,0,0,0.0,0
D009,Client,statement please please.,0,0,0.33,0
D009,Client,update address please.,0,0,0.0,0
D009,Client,check balance please.,0,0,0.0,0
D009,Client,change phone number please.,0,0,0.0,0
D009,Agent,Which account number?,0,0,0.0,0
D009,Agent,Verify details?,0,0,0.0,0
D010,Client,check balance please.,0,0,0.0,0
D010,Agent,Account confirmed.,0,0,0.0,0
D010,Agent,Which account number?,0,0,0.0,0
D010,Agent,Verify details?,0,0,0.0,0
D010,Agent,Verify details?,0,0,0.0,0
D010,Agent,Can you confirm the amount?,0,0,0.0,0
D011,Agent,Processing request.,0,0,0.0,0
D011,Agent,Security check required.,0,0,0.0,0
D011,Client,recent transactions please.,0,0,0.0,0
D011,Client,check balance please.,0,0,0.0,0
D011,Client,update address please.,0,0,0.0,0
D011,Agent,Verify details?,0,0,0.0,0
D012,Client,recent transactions please.,0,0,0.0,0
D012,Agent,Verify details?,0,0,0.0,0
D012,Client,update address please.,0,0,0.0,0
D012,Agent,Account confirmed.,0,0,0.0,0
D012,Agent,Processing request.,0,0,0.0,0
D012,Agent,Account confirmed.,0,0,0.0,0
D012,Client,update address please.,0,0,0.0,0
D012,Agent,Verify details?,0,0,0.0,0
D012,Client,statement please please.,0,0,0.33,0
D012,Agent,Processing request.,0,0,0.0,0
D012,Client,change phone number please.,0,0,0.0,0
D013,Client,update address please.,0,0,0.0,0
D013,Client,statement please please.,0,0,0.33,0
D013,Agent,Processing request.,0,0,0.0,0
D013,Client,recent transactions please.,0,0,0.0,0
D013,Client,check balance please.,0,0,0.0,0
D013,Client,recent transactions please.,0,0,0.0,0
D013,Client,check balance please.,0,0,0.0,0
D014,Agent,Can you confirm the amount?,0,0,0.0,0
D014,Client,change phone number please.,0,0,0.0,0
D014,Client,change phone number please.,0,0,0.0,0
D014,Agent,Account confirmed.,0,0,0.0,0
D014,Client,statement please please.,0,0,0.33,0
D014,Client,statement please please.,0,0,0.33,0
D014,Client,update address please.,0,0,0.0,0
D014,Agent,Which account number?,0,0,0.0,0
D015,Agent,Security check required.,0,0,0.0,0
D015,Agent,Account confirmed.,0,0,0.0,0
D015,Agent,Verify details?,0,0,0.0,0
D015,Agent,Verify details?,0,0,0.0,0
D015,Client,update address please.,0,0,0.0,0
D015,Client,statement please please.,0,0,0.33,0
D015,Agent,Security check required.,0,0,0.0,0
D015,Agent,Account confirmed.,0,0,0.0,0
D015,Agent,Can you confirm the amount?,0,0,0.0,0
D016,Agent,Which account number?,0,0,0.0,0
D016,Client,check balance please.,0,0,0.0,0
D016,Agent,Which account number?,0,0,0.0,0
D016,Agent,Can you confirm the amount?,0,0,0.0,0
D016,Client,change phone number please.,0,0,0.0,0
D016,Agent,Processing request.,0,0,0.0,0
D017,Client,recent transactions please.,0,0,0.0,0
D017,Client,recent transactions please.,0,0,0.0,0
D017,Client,statement please please.,0,0,0.33,0
D017,Client,change phone number please.,0,0,0.0,0
D017,Agent,Can you confirm the amount?,0,0,0.0,0
D017,Client,recent transactions please.,0,0,0.0,0
D017,Agent,Account confirmed.,0,0,0.0,0
D017,Agent,Processing request.,0,0,0.0,0
D017,Client,recent transactions please.,0,0,0.0,0
D017,Agent,Processing request.,0,0,0.0,0
D018,Agent,Account confirmed.,0,0,0.0,0
D018,Agent,Can you confirm the amount?,0,0,0.0,0
D018,Client,update address please.,0,0,0.0,0
D018,Client,statement please please.,0,0,0.33,0
D018,Client,change phone number please.,0,0,0.0,0
D018,Agent,Which account number?,0,0,0.0,0
D018,Client,statement please please.,0,0,0.33,0
D018,Client,check balance please.,0,0,0.0,0
D018,Client,recent transactions please.,0,0,0.0,0
D018,Agent,Account confirmed.,0,0,0.0,0
D019,Client,statement please please.,0,0,0.33,0
D019,Agent,Which account number?,0,0,0.0,0
D019,Agent,Verify details?,0,0,0.0,0
D019,Agent,Verify details?,0,0,0.0,0
D019,Client,change phone number please.,0,0,0.0,0
D019,Client,change phone number please.,0,0,0.0,0
D019,Client,statement please please.,0,0,0.33,0
D019,Agent,Can you confirm the amount?,0,0,0.0,0
D019,Agent,Verify details?,0,0,0.0,0
D020,Agent,Verify details?,0,0,0.0,0
D020,Agent,Account confirmed.,0,0,0.0,0
D020,Client,update address please.,0,0,0.0,0
D020,Agent,Processing request.,0,0,0.0,0
D020,Client,statement please please.,0,0,0.33,0
D020,Agent,Processing request.,0,0,0.0,0
D020,Agent,Processing request.,0,0,0.0,0
D020,Client,statement please please.,0,0,0.33,0
D020,Client,statement please please.,0,0,0.33,0
D020,Agent,Verify details?,0,0,0.0,0
D020,Agent,Can you confirm the amount?,0,0,0.0,0
D021,Client,check balance please.,0,0,0.0,0
D021,Client,statement please please.,0,0,0.33,0
D021,Agent,Which account number?,0,0,0.0,0
D021,Agent,Security check required.,0,0,0.0,0
D021,Agent,Processing request.,0,0,0.0,0
D021,Agent,Security check required.,0,0,0.0,0
D021,Agent,Verify details?,0,0,0.0,0
D022,Client,check balance please.,0,0,0.0,0
D022,Agent,Security check required.,0,0,0.0,0
D022,Agent,Verify details?,0,0,0.0,0
D022,Client,check balance please.,0,0,0.0,0
D022,Agent,Verify details?,0,0,0.0,0
D022,Client,check balance please.,0,0,0.0,0
D022,Agent,Verify details?,0,0,0.0,0
D022,Agent,Account confirmed.,0,0,0.0,0
D022,Client,statement please please.,0,0,0.33,0
D023,Client,change phone number please.,0,0,0.0,0
D023,Client,update address please.,0,0,0.0,0
D023,Client,check balance please.,0,0,0.0,0
D023,Agent,Verify details?,0,0,0.0,0
D023,Client,check balance please.,0,0,0.0,0
D023,Client,update address please.,0,0,0.0,0
D023,Agent,Which account number?,0,0,0.0,0
D023,Client,statement please please.,0,0,0.33,0
D023,Client,statement please please.,0,0,0.33,0
D023,Agent,Verify details?,0,0,0.0,0
D023,Client,check balance please.,0,0,0.0,0
D024,Client,urgent transfer maybe $5845 to new account.,1,1,-0.14,1
D024,Client,maybe tomorrow if not $6880 to supplier.,1,0,0.0,1
D024,Client,maybe tomorrow if not sort of $6617 to vendor.,2,0,0.0,1
D024,Client,send now to this account approximately $8993 to new account.,1,1,0.0,1
D024,Agent,Which account number?,0,0,0.0,1
D024,Client,urgent transfer $9220 to vendor.,0,1,-0.2,1
D024,Agent,Verify details?,0,0,0.0,1
D025,Agent,Verify details?,0,0,0.0,0
D025,Agent,Can you confirm the amount?,0,0,0.0,0
D025,Client,change phone number please.,0,0,0.0,0
D025,Agent,Processing request.,0,0,0.0,0
D025,Client,change phone number please.,0,0,0.0,0
D025,Client,update address please.,0,0,0.0,0
D025,Agent,Processing request.,0,0,0.0,0
D025,Agent,Which account number?,0,0,0.0,0
D025,Agent,Which account number?,0,0,0.0,0
D025,Agent,Account confirmed.,0,0,0.0,0
D025,Client,update address please.,0,0,0.0,0
D026,Client,check balance please.,0,0,0.0,0
D026,Client,change phone number please.,0,0,0.0,0
D026,Client,check balance please.,0,0,0.0,0
D026,Agent,Account confirmed.,0,0,0.0,0
D026,Agent,Security check required.,0,0,0.0,0
D026,Agent,Verify details?,0,0,0.0,0
D026,Client,change phone number please.,0,0,0.0,0
D026,Client,check balance please.,0,0,0.0,0
D026,Client,statement please please.,0,0,0.33,0
D026,Agent,Can you confirm the amount?,0,0,0.0,0
D026,Agent,Can you confirm the amount?,0,0,0.0,0
D026,Client,statement please please.,0,0,0.33,0
D027,Agent,Verify details?,0,0,0.0,0
D027,Agent,Security check required.,0,0,0.0,0
D027,Agent,Account confirmed.,0,0,0.0,0
D027,Agent,Security check required.,0,0,0.0,0
D027,Client,update address please.,0,0,0.0,0
D027,Client,recent transactions please.,0,0,0.0,0
D027,Agent,Verify details?,0,0,0.0,0
D027,Agent,Verify details?,0,0,0.0,0
D027,Client,update address please.,0,0,0.0,0
D027,Client,update address please.,0,0,0.0,0
D027,Client,statement please please.,0,0,0.33,0
D028,Client,change phone number please.,0,0,0.0,0
D028,Agent,Account confirmed.,0,0,0.0,0
D028,Agent,Verify details?,0,0,0.0,0
D028,Agent,Account confirmed.,0,0,0.0,0
D028,Client,recent transactions please.,0,0,0.0,0
D028,Agent,Verify details?,0,0,0.0,0
D028,Client,recent transactions please.,0,0,0.0,0
D028,Agent,Security check required.,0,0,0.0,0
D028,Client,check balance please.,0,0,0.0,0
D028,Client,check balance please.,0,0,0.0,0
D028,Client,check balance please.,0,0,0.0,0
D029,Client,check balance please.,0,0,0.0,0
D029,Agent,Which account number?,0,0,0.0,0
D029,Client,check balance please.,0,0,0.0,0
D029,Agent,Processing request.,0,0,0.0,0
D029,Agent,Which account number?,0,0,0.0,0
D029,Client,statement please please.,0,0,0.33,0
D029,Client,statement please please.,0,0,0.33,0
D029,Agent,Which account number?,0,0,0.0,0
D029,Client,statement please please.,0,0,0.33,0
D029,Agent,Security check required.,0,0,0.0,0
D029,Agent,Security check required.,0,0,0.0,0
D030,Agent,Security check required.,0,0,0.0,0
D030,Client,update address please.,0,0,0.0,0
D030,Agent,Security check required.,0,0,0.0,0
D030,Client,change phone number please.,0,0,0.0,0
D030,Agent,Security check required.,0,0,0.0,0
D030,Client,check balance please.,0,0,0.0,0
D030,Agent,Can you confirm the amount?,0,0,0.0,0
D030,Client,update address please.,0,0,0.0,0
D030,Agent,Processing request.,0,0,0.0,0
D030,Client,change phone number please.,0,0,0.0,0
D030,Client,change phone number please.,0,0,0.0,0
D031,Client,recent transactions please.,0,0,0.0,0
D031,Agent,Can you confirm the amount?,0,0,0.0,0
D031,Agent,Which account number?,0,0,0.0,0
D031,Agent,Security check required.,0,0,0.0,0
D031,Client,update address please.,0,0,0.0,0
D031,Client,check balance please.,0,0,0.0,0
D031,Client,change phone number please.,0,0,0.0,0
D031,Agent,Can you confirm the amount?,0,0,0.0,0
D031,Agent,Can you confirm the amount?,0,0,0.0,0
D031,Client,recent transactions please.,0,0,0.0,0
D031,Agent,Account confirmed.,0,0,0.0,0
D031,Agent,Can you confirm the amount?,0,0,0.0,0
D032,Client,statement please please.,0,0,0.33,0
D032,Client,update address please.,0,0,0.0,0
D032,Client,change phone number please.,0,0,0.0,0
D032,Agent,Account confirmed.,0,0,0.0,0
D032,Agent,Verify details?,0,0,0.0,0
D032,Client,statement please please.,0,0,0.33,0
D032,Agent,Which account number?,0,0,0.0,0
D032,Client,statement please please.,0,0,0.33,0
D032,Client,check balance please.,0,0,0.0,0
D032,Agent,Processing request.,0,0,0.0,0
D032,Agent,Processing request.,0,0,0.0,0
D033,Agent,Security check required.,0,0,0.0,0
D033,Agent,Which account number?,0,0,0.0,0
D033,Agent,Can you confirm the amount?,0,0,0.0,0
D033,Client,statement please please.,0,0,0.33,0
D033,Client,recent transactions please.,0,0,0.0,0
D033,Client,check balance please.,0,0,0.0,0
D034,Agent,Security check required.,0,0,0.0,0
D034,Agent,Processing request.,0,0,0.0,0
D034,Client,recent transactions please.,0,0,0.0,0
D034,Agent,Verify details?,0,0,0.0,0
D034,Client,recent transactions please.,0,0,0.0,0
D034,Client,update address please.,0,0,0.0,0
D034,Client,change phone number please.,0,0,0.0,0
D034,Client,check balance please.,0,0,0.0,0
D034,Client,update address please.,0,0,0.0,0
D034,Client,check balance please.,0,0,0.0,0
D035,Agent,Processing request.,0,0,0.0,0
D035,Client,change phone number please.,0,0,0.0,0
D035,Agent,Verify details?,0,0,0.0,0
D035,Agent,Can you confirm the amount?,0,0,0.0,0
D035,Agent,Which account number?,0,0,0.0,0
D035,Client,recent transactions please.,0,0,0.0,0
D035,Agent,Account confirmed.,0,0,0.0,0
D035,Agent,Account confirmed.,0,0,0.0,0
D035,Client,update address please.,0,0,0.0,0
D035,Client,statement please please.,0,0,0.33,0
D035,Agent,Account confirmed.,0,0,0.0,0
D035,Agent,Processing request.,0,0,0.0,0
D036,Client,urgent transfer sort of $10863 to supplier.,1,1,-0.14,1
D036,Agent,Security check required.,0,0,0.0,1
D036,Client,maybe tomorrow if not maybe $20547 to supplier.,1,0,0.0,1
D036,Client,it's an emergency sort of $15113 to friend.,1,0,-0.12,1
D036,Agent,Security check required.,0,0,0.0,1
D036,Agent,Processing request.,0,0,0.0,1
D036,Client,maybe tomorrow if not possibly $9184 to vendor.,2,0,0.0,1
D036,Agent,Verify details?,0,0,0.0,1
D037,Agent,Processing request.,0,0,0.0,1
D037,Agent,Verify details?,0,0,0.0,1
D037,Agent,Can you confirm the amount?,0,0,0.0,1
D037,Client,it's an emergency possibly $18013 to vendor.,1,0,-0.14,1
D037,Agent,Account confirmed.,0,0,0.0,1
D037,Client,need to move money quickly $16780 to new account.,0,1,0.0,1
D037,Agent,Processing request.,0,0,0.0,1
D037,Agent,Which account number?,0,0,0.0,1
D037,Agent,Verify details?,0,0,0.0,1
D037,Client,urgent transfer kind of $15063 to new account.,1,1,-0.12,1
D037,Client,it's an emergency approximately $8220 to friend.,1,0,-0.14,1
D037,Client,maybe tomorrow if not approximately $11068 to supplier.,2,0,0.0,1
D038,Client,recent transactions please.,0,0,0.0,0
D038,Client,recent transactions please.,0,0,0.0,0
D038,Agent,Verify details?,0,0,0.0,0
D038,Client,change phone number please.,0,0,0.0,0
D038,Client,statement please please.,0,0,0.33,0
D038,Agent,Which account number?,0,0,0.0,0
D038,Client,change phone number please.,0,0,0.0,0
D038,Client,recent transactions please.,0,0,0.0,0
D038,Client,statement please please.,0,0,0.33,0
D038,Client,recent transactions please.,0,0,0.0,0
D038,Agent,Security check required.,0,0,0.0,0
D039,Client,statement please please.,0,0,0.33,0
D039,Client,statement please please.,0,0,0.33,0
D039,Client,update address please.,0,0,0.0,0
D039,Agent,Security check required.,0,0,0.0,0
D039,Client,check balance please.,0,0,0.0,0
D039,Agent,Which account number?,0,0,0.0,0
D039,Client,change phone number please.,0,0,0.0,0
D039,Agent,Can you confirm the amount?,0,0,0.0,0
D039,Client,statement please please.,0,0,0.33,0
D039,Agent,Account confirmed.,0,0,0.0,0
D039,Agent,Which account number?,0,0,0.0,0
D040,Agent,Account confirmed.,0,0,0.0,0
D040,Client,change phone number please.,0,0,0.0,0
D040,Client,statement please please.,0,0,0.33,0
D040,Client,recent transactions please.,0,0,0.0,0
D040,Agent,Can you confirm the amount?,0,0,0.0,0
D040,Agent,Processing request.,0,0,0.0,0
D040,Agent,Processing request.,0,0,0.0,0
D040,Client,update address please.,0,0,0.0,0
D040,Agent,Security check required.,0,0,0.0,0
D040,Agent,Verify details?,0,0,0.0,0
D041,Client,statement please please.,0,0,0.33,0
D041,Client,statement please please.,0,0,0.33,0
D041,Agent,Can you confirm the amount?,0,0,0.0,0
D041,Client,change phone number please.,0,0,0.0,0
D041,Agent,Processing request.,0,0,0.0,0
D041,Agent,Verify details?,0,0,0.0,0
D041,Client,update address please.,0,0,0.0,0
D041,Agent,Which account number?,0,0,0.0,0
D041,Agent,Security check required.,0,0,0.0,0
D041,Client,recent transactions please.,0,0,0.0,0
D042,Agent,Which account number?,0,0,0.0,0
D042,Agent,Which account number?,0,0,0.0,0
D042,Client,update address please.,0,0,0.0,0
D042,Client,update address please.,0,0,0.0,0
D042,Agent,Which account number?,0,0,0.0,0
D042,Agent,Can you confirm the amount?,0,0,0.0,0
D042,Client,recent transactions please.,0,0,0.0,0
D042,Client,check balance please.,0,0,0.0,0
D043,Agent,Security check required.,0,0,0.0,0
D043,Client,change phone number please.,0,0,0.0,0
D043,Agent,Security check required.,0,0,0.0,0
D043,Agent,Which account number?,0,0,0.0,0
D043,Agent,Verify details?,0,0,0.0,0
D043,Agent,Which account number?,0,0,0.0,0
D043,Client,change phone number please.,0,0,0.0,0
D043,Client,change phone number please.,0,0,0.0,0
D043,Client,check balance please.,0,0,0.0,0
D043,Agent,Which account number?,0,0,0.0,0
D044,Agent,Which account number?,0,0,0.0,0
D044,Client,update address please.,0,0,0.0,0
D044,Agent,Which account number?,0,0,0.0,0
D044,Agent,Processing request.,0,0,0.0,0
D044,Agent,Which account number?,0,0,0.0,0
D044,Client,recent transactions please.,0,0,0.0,0
D045,Agent,Security check required.,0,0,0.0,0
D045,Client,statement please please.,0,0,0.33,0
D045,Client,change phone number please.,0,0,0.0,0
D045,Agent,Can you confirm the amount?,0,0,0.0,0
D045,Client,change phone number please.,0,0,0.0,0
D045,Agent,Security check required.,0,0,0.0,0
D045,Agent,Which account number?,0,0,0.0,0
D046,Client,update address please.,0,0,0.0,0
D046,Client,check balance please.,0,0,0.0,0
D046,Client,statement please please.,0,0,0.33,0
D046,Client,check balance please.,0,0,0.0,0
D046,Agent,Which account number?,0,0,0.0,0
D046,Agent,Can you confirm the amount?,0,0,0.0,0
D046,Client,recent transactions please.,0,0,0.0,0
D046,Client,update address please.,0,0,0.0,0
D046,Client,update address please.,0,0,0.0,0
D046,Agent,Security check required.,0,0,0.0,0
D046,Agent,Verify details?,0,0,0.0,0
D046,Agent,Processing request.,0,0,0.0,0
D047,Client,it's an emergency maybe $6194 to friend.,1,0,-0.14,1
D047,Agent,Which account number?,0,0,0.0,1
D047,Agent,Can you confirm the amount?,0,0,0.0,1
D047,Client,urgent transfer $22412 to friend.,0,1,-0.2,1
D047,Client,it's an emergency I think $24917 to new account.,0,0,-0.11,1
D047,Agent,Security check required.,0,0,0.0,1
D047,Client,urgent transfer sort of $21083 to supplier.,1,1,-0.14,1
D048,Client,urgent transfer possibly $10049 to new account.,1,1,-0.14,1
D048,Client,maybe tomorrow if not maybe $13174 to vendor.,1,0,0.0,1
D048,Client,need to move money quickly maybe $17681 to vendor.,1,1,0.0,1
D048,Client,send now to this account I think $23002 to new account.,0,1,0.0,1
D048,Client,send now to this account I think $11949 to vendor.,0,1,0.0,1
D048,Agent,Security check required.,0,0,0.0,1
D048,Client,maybe tomorrow if not kind of $16765 to vendor.,2,0,0.0,1
D048,Client,need to move money quickly I think $5301 to vendor.,0,1,0.0,1
D048,Agent,Verify details?,0,0,0.0,1
D048,Client,it's an emergency $5803 to friend.,0,0,-0.17,1
D049,Client,check balance please.,0,0,0.0,0
D049,Agent,Can you confirm the amount?,0,0,0.0,0
D049,Agent,Security check required.,0,0,0.0,0
D049,Client,change phone number please.,0,0,0.0,0
D049,Agent,Verify details?,0,0,0.0,0
D049,Agent,Which account number?,0,0,0.0,0
D049,Client,statement please please.,0,0,0.33,0
